class,precision,recall,f1-score,model_name
1,0.9193548387096774,0.9193548387096774,0.9193548387096774,XGBoost
2,0.955719557195572,0.9923371647509579,0.9736842105263158,XGBoost
3,0.925,0.9736842105263158,0.9487179487179487,XGBoost
4,0.9594594594594594,1.0,0.9793103448275862,XGBoost
5,1.0,0.6911764705882353,0.8173913043478261,XGBoost
