,model_name,outer_fold,f1_macro,MCC,accuracy,best_params
0,SVM,0,0.9059881730469964,0.9124784628216832,0.937984496124031,"{'model__C': 10, 'model__gamma': 'auto'}"
1,SVM,1,0.9355006059851085,0.9352088037083159,0.9534883720930233,"{'model__C': 100, 'model__gamma': 0.01}"
2,SVM,2,0.9288459794380419,0.9447167748579895,0.9609375,"{'model__C': 100, 'model__gamma': 0.1}"
3,SVM,3,0.8906708595387842,0.9107435309099683,0.9375,"{'model__C': 1, 'model__gamma': 'scale'}"
4,SVM,4,0.869142299470211,0.8876867972508334,0.921875,"{'model__C': 100, 'model__gamma': 'auto'}"
