model_name,outer_fold,f1_macro,MCC,accuracy,best_params
Decision_Tree,0,0.8284751856720712,0.8064889217580382,0.8604651162790697,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 10, 'model__min_samples_leaf': 5}"
Decision_Tree,1,0.8585916750362681,0.8598193846702641,0.8992248062015504,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 10, 'model__min_samples_leaf': 5}"
Decision_Tree,2,0.83640521114106,0.8436859569374358,0.890625,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 5}"
Decision_Tree,3,0.8638763764521661,0.9000462115589366,0.9296875,"{'model__criterion': 'gini', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 5}"
Decision_Tree,4,0.7843858237908387,0.8085565770250654,0.8671875,"{'model__criterion': 'entropy', 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 5}"
