fold,class_1,class_2,class_3,class_4,class_5
0,-0.5057611675156102,2.7340326815901728,-4.597945856201108,0.48512027503146715,1.8845540670950032
1,-3.6828286198820877,7.963117113679514,-13.003787203373363,1.4411057065982649,7.282393002976905
2,-2.705984022089108,5.518777317753222,-9.931278895419197,2.242270304254025,4.876215295501056
3,-1.2173388307664164,2.7831085101773168,-4.773324306600273,0.7226236195653426,2.4849310076240143
4,-2.2447552968171607,5.575139674496844,-10.517163111784813,1.9231623566148632,5.263616377490645
