Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
0.0069860680527057736,0.011252622335319422,0.08332607384413027,0.898183990870434,0.0002512448974104443,301015
0.0024390883643877178,0.004796565423987139,0.05262120759659134,0.939998182603166,0.00014495601186782585,301019
0.0007197828646517676,0.003175979244819594,0.03040695807977723,0.9654316931456661,0.0002655866650852288,301020
0.9713936441783597,0.0009792236730261,0.0029705137932932242,0.023189456525356027,0.0014671618299652077,301012
0.0015898029962571573,0.0018852525861240304,0.9261857165937386,0.0001194725866277694,0.07021975523725243,301028
0.0036552943885518204,0.6654199149539048,9.459105504135903e-07,0.002353535172559999,0.3285703095744328,301001
0.010951702078053743,0.9523508628458773,9.015616161662183e-07,0.004139417768115417,0.03255711574633745,1101002
0.008832783819597949,0.9377668290005732,1.315214421489662e-06,0.010007422169563442,0.0433916497958439,1101014
0.9236365547788972,0.04774991495766746,1.6169489001175528e-06,2.96750600799448e-05,0.028582238254455224,1101008
0.9570460045120206,0.02708358175005503,5.580985086947069e-07,1.190694551184729e-05,0.01585794869390372,1401001
0.9233936572046606,0.07008690949946936,3.898562561206512e-07,2.4984295113791913e-06,0.006516545010102506,1401004
1.9766672855302108e-05,0.1056508585467584,1.599880601544521e-07,0.8840948235852887,0.01023439120703735,2101003
0.017505917966950064,0.9670434312113325,0.004870941183952252,0.006394925235673367,0.00418478440209175,2101006
0.8903658427415836,0.08139976644981631,8.596708560552511e-07,4.331736424814312e-06,0.028229199401319086,2101016
0.0003030412863051803,0.016438526564052477,3.97856313642311e-06,0.8730820673286166,0.11017238625788937,2101012
0.00027003763307816817,0.009789693177758714,2.1360763902037892e-06,0.9030703819762044,0.08686775113656839,2201011
0.011960655641554501,0.8372568152293334,1.3566971262602166e-06,0.009435610009081281,0.14134556242290447,2201022
7.289342904445525e-05,0.005929341752565757,1.1290653091030422e-06,0.848410931645978,0.14558570410710261,3601005
0.0011556058889156855,0.024777361031468475,0.01619795114560081,0.9372636711317412,0.020605410802273762,3601007
3.328251921342345e-05,0.00023861047490697276,0.9985134619715037,7.189744033327e-06,0.0012074552903427215,4701004
0.0071517380166306165,0.6030036577969722,1.8551780941829184e-06,0.010144716402862245,0.37969803260544077,4701009
0.008348832749666,0.8744717108678048,1.5717578775895679e-06,0.005674096500995287,0.11150378812365623,4701001
0.010951702078053743,0.9523508628458773,9.015616161662183e-07,0.004139417768115417,0.03255711574633745,4701010
5.852356460719013e-06,0.07018487659978129,9.275193198412748e-08,0.9109962987617588,0.01881287953006707,4701018
0.0003030412863051803,0.016438526564052477,3.97856313642311e-06,0.8730820673286166,0.11017238625788937,4701022
0.010951702078053743,0.9523508628458773,9.015616161662183e-07,0.004139417768115417,0.03255711574633745,4701017
0.011960655641554501,0.8372568152293334,1.3566971262602166e-06,0.009435610009081281,0.14134556242290447,6201009
0.15234210622902114,0.001929437579995209,0.8451551604402929,0.0004899311971287275,8.336455356196968e-05,6801002
2.8791168221120234e-06,0.02779459837823291,6.287320608372955e-08,0.935411028649159,0.03679143098257993,8401014
0.2211232580891173,0.004302828611082941,0.35481049326917186,1.153457968942755e-06,0.41976226657265886,8401005
5.264459309703389e-06,0.10972863441464369,1.1468689428769625e-07,0.7763668652117852,0.11389912122736719,8401012
0.0009791420982918312,0.005886469789492672,0.0010651118368338818,0.00015393146662583004,0.9919153448087558,8401019
0.00015917350669400604,0.004379216908160423,1.7162729067804176e-06,0.707534604675097,0.28792528863714184,8701002
