class,precision,recall,f1-score,model_name
1,0.8428571428571429,0.9516129032258065,0.8939393939393939,SVM
2,0.9656488549618321,0.9693486590038314,0.9674952198852772,SVM
3,0.9210526315789473,0.9210526315789473,0.9210526315789473,SVM
4,0.9681818181818181,1.0,0.9838337182448037,SVM
5,0.9038461538461539,0.6911764705882353,0.7833333333333333,SVM
