fold,class_1,class_2,class_3,class_4,class_5
0,0.46873801946640015,0.5272262096405029,0.42606574296951294,0.47777363657951355,0.5632083415985107
1,0.4540770649909973,0.49301034212112427,0.44646260142326355,0.4256843328475952,0.5729372501373291
2,0.37421557307243347,0.4712739884853363,0.2565707862377167,0.39269348978996277,0.8172140121459961
3,0.4941115379333496,0.5055292248725891,0.4821469187736511,0.4933786988258362,0.49612000584602356
4,0.43743017315864563,0.5174272656440735,0.45500123500823975,0.4394598603248596,0.5635932683944702
